system,limit,limit_label,n_trips,n_runs_kept,fps_sustained_med,fps_boot_lo,fps_boot_hi,fps_tlog_lo,fps_tlog_hi,fps_min,fps_max,median_ms_med,p95_ms_med,load_seconds_med,first_frame_ms_med,rss_peak_mb_med
qgis,100,100,100,4,486.06427588476754,483.565863325113,487.40439897535356,483.1427944963138,488.41668765095665,483.565863325113,487.40439897535356,1.9624239994300297,2.4177142999178614,0.1372013625004911,5.872132499462168,728.0500000000001
qgis,250,250,250,4,454.30225072809856,452.4646405247649,458.6357885654595,450.4223008583573,459.4617518310802,452.4646405247649,458.6357885654595,2.101161999235046,2.539365600205201,0.14631896050013893,6.353154499265656,723.3
qgis,500,500,500,4,414.6503239258989,413.0862845824461,415.19368931673927,412.931208681434,415.8627514577479,413.0862845824461,415.19368931673927,2.3315449989240733,2.726415349934541,0.16123483899900748,6.033335000211082,725.3
qgis,1000,1000,1000,4,350.02839903016195,347.5999803953558,351.5653925158716,347.11721404186096,352.50849278317264,347.5999803953558,351.5653925158716,2.7962802505498985,3.2268615500015594,0.3055227670001841,6.454346999817062,726.75
qgis,2000,2000,2000,4,263.9896760265882,263.01531882470687,266.2077011967884,262.1343538664107,266.4793933291004,263.01531882470687,266.2077011967884,3.774405999593,4.277454573684736,0.44269208749938116,6.721970000398869,731.55
qgis,5000,5000,5000,4,156.6604044962171,156.31828928855967,157.7379806933608,155.84933929140593,157.8436595975256,156.31828928855967,157.7379806933608,6.50659675056886,7.272764874778659,0.6037500695001654,8.517375999872456,724.9000000000001
qgis,10000,10000,10000,4,91.48612527760909,90.66257622851057,92.25990450809371,90.4041248069217,92.55211484553587,90.66257622851057,92.25990450809371,11.193721749805263,12.178630400421753,0.6670118199999706,11.522241000420763,734.5
qgis,15000,15000,15000,4,67.77519731336906,67.11003522675993,67.9431303357347,67.06395160532493,68.24143637219449,67.11003522675993,67.9431303357347,15.610127999934775,16.757298625634576,0.8680940714993994,14.303862499218667,732.95
qgis,0,all_day,25890,4,48.257708209586355,48.183576624801596,48.48767524331712,48.06693556822767,48.5271699916744,48.183576624801596,48.48767524331712,18.551203749666456,26.053827049645406,1.360657989000174,21.145894499568385,730.75
flask,100,100,100,4,60.02080090847214,60.01981872232879,60.021128309934404,60.01969150541962,60.02158292967017,60.01981872232879,60.021128309934404,16.600000001490116,17.100000001490116,0.29475,345.69999999925494,890.1500000000001
flask,250,250,250,4,60.0205280752384,60.02036437688643,60.02058264148666,60.02033455470556,60.02066703004339,60.02036437688643,60.02058264148666,16.600000001490116,17.100000001490116,0.72675,772.6999999992549,900.5
flask,500,500,500,4,60.02080090767841,60.02025524518364,60.02091004136551,60.02022158352098,60.02116197002407,60.02025524518364,60.02091004136551,16.600000001490116,17.100000001490116,1.0493499999996274,1085.2999999988824,926.9000000000001
flask,1000,1000,1000,4,60.02052807563527,60.020364376886434,60.02101917545356,60.020111211794344,60.02110864292701,60.020364376886434,60.02101917545356,16.600000001490116,17.100000001490116,1.9544000000003725,2002.9500000011176,958.3000000000001
flask,2000,2000,2000,4,60.02047350898812,60.02025524518364,60.02058264148666,60.02022774779959,60.0206647050833,60.02025524518364,60.02058264148666,16.699999999254942,17.100000001490116,3.3428499999996273,3462.449999999255,1035.25
flask,5000,5000,5000,4,60.0205280752384,60.02036437688643,60.02091004136551,60.020207558637225,60.02095772737672,60.02036437688643,60.02091004136551,16.65000000037253,17.100000001490116,6.778050000000745,7047.300000000745,1200.95
flask,10000,10000,10000,4,60.00234554628499,60.00196370063101,60.00294559914678,60.00175063209911,60.00304956902177,60.00196370063101,60.00294559914678,16.600000001490116,17.5,9.758000000001864,9781.900000002235,1150.15
flask,15000,15000,15000,4,59.98463800602974,59.98374985685452,60.002581147082765,59.97437635070052,60.003429632680664,59.98374985685452,60.002581147082765,16.65000000037253,17.949999999254942,15.009650000000374,15042.550000000745,1235.2
flask,0,all_day,25890,4,59.99351101489816,59.9837812873884,60.00218189752355,59.97691445974865,60.00958127687824,59.9837812873884,60.00218189752355,16.699999999254942,17.300000000745058,25.854,25905.949999999255,1424.3000000000002
